epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.8377,0.89743,2.69611,1.11523,0.07158,0.13793,0.06034,0.04458,2.41703,3.52956,1.99788,0.06832,0.00032,0.00032
2,68.1372,0.78126,1.83757,1.02846,0.51497,0.43652,0.32254,0.26747,0.64769,2.08205,0.90702,0.0356468,0.000646782,0.000646782
3,90.1196,0.73482,1.41259,1.01385,0.47922,0.53514,0.57118,0.47707,0.613,1.62348,0.90408,0.0029703,0.000970298,0.000970298
4,111.965,0.71885,1.15385,1.01164,0.695,0.60886,0.6647,0.55179,0.56384,1.52737,0.91381,0.00098515,0.00098515,0.00098515
5,137.064,0.6933,0.98941,0.99963,0.88556,0.81997,0.89201,0.76743,0.5318,0.70389,0.89839,0.0009802,0.0009802,0.0009802
6,162.281,0.69148,0.91446,0.99984,0.87679,0.7956,0.89178,0.77229,0.51088,0.74108,0.87816,0.00097525,0.00097525,0.00097525
7,187.929,0.64048,0.82824,0.98195,0.90424,0.87259,0.94597,0.81416,0.5001,0.63122,0.89267,0.0009703,0.0009703,0.0009703
8,213.013,0.63942,0.78582,0.98159,0.81847,0.80332,0.87462,0.76357,0.49358,0.72066,0.88138,0.00096535,0.00096535,0.00096535
9,238.422,0.61668,0.74351,0.97556,0.79333,0.83032,0.91186,0.7977,0.49289,0.74531,0.88614,0.0009604,0.0009604,0.0009604
10,263.535,0.62049,0.73115,0.97633,0.86386,0.89485,0.95428,0.84347,0.46734,0.58527,0.87486,0.00095545,0.00095545,0.00095545
11,287.714,0.60694,0.69487,0.97147,0.93867,0.92598,0.97341,0.86344,0.45379,0.51799,0.87568,0.0009505,0.0009505,0.0009505
12,312.39,0.61621,0.69509,0.97111,0.90361,0.89814,0.96613,0.86006,0.45182,0.52384,0.87173,0.00094555,0.00094555,0.00094555
13,337.284,0.59772,0.668,0.96849,0.94798,0.92465,0.97438,0.87417,0.43707,0.4636,0.87083,0.0009406,0.0009406,0.0009406
14,362.22,0.59579,0.65706,0.97021,0.92796,0.93369,0.97155,0.86449,0.46409,0.46779,0.87467,0.00093565,0.00093565,0.00093565
15,387.573,0.59692,0.64629,0.96897,0.86023,0.91127,0.94857,0.84655,0.44211,0.52009,0.86574,0.0009307,0.0009307,0.0009307
16,412.485,0.59047,0.63742,0.96695,0.93964,0.94999,0.98362,0.88473,0.43731,0.43324,0.86254,0.00092575,0.00092575,0.00092575
17,438.035,0.58379,0.62622,0.9654,0.77807,0.86703,0.87666,0.76577,0.47354,0.72965,0.89127,0.0009208,0.0009208,0.0009208
18,462.92,0.57128,0.60512,0.95851,0.89535,0.84558,0.95727,0.83961,0.48719,0.61744,0.87861,0.00091585,0.00091585,0.00091585
19,487.601,0.59488,0.60528,0.96715,0.93011,0.92381,0.97481,0.87537,0.43734,0.48048,0.86566,0.0009109,0.0009109,0.0009109
20,512.798,0.57446,0.59025,0.96244,0.96,0.9599,0.98789,0.89561,0.42594,0.40794,0.86215,0.00090595,0.00090595,0.00090595
